date,closing price,,,,,
April 2022,102.96,,,,,
March 2022,98.31,,,,,
February 2022,96.71,,,,,
January 2022,96.54,,,,,
December 2021,95.97,,,,,
November 2021,95.99,,,,,
October 2021,94.12,,,,,
September 2021,94.23,,,,,
August 2021,92.63,,,,,
July 2021,92.17,,,,,
June 2021,92.44,,,,,
May 2021,90.03,,,,,
April 2021,91.28,,,,,
March 2021,93.23,,,,,
February 2021,90.88,,,,,
January 2021,90.58,,,,,
December 2020,89.94,,,,,
November 2020,91.87,,,,,
October 2020,94.04,,,,,
September 2020,93.89,,,,,
August 2020,92.14,,,,,
July 2020,93.35,,,,,
June 2020,97.39,,,,,
May 2020,98.34,,,,,
April 2020,99.02,,,,,
March 2020,99.05,,,,,
February 2020,98.13,,,,,
January 2020,97.39,,,,,
December 2019,96.39,,,,,
November 2019,98.27,,,,,
October 2019,97.35,,,,,
September 2019,99.38,,,,,
August 2019,98.92,,,,,
July 2019,98.52,,,,,
June 2019,96.13,,,,,
May 2019,97.75,,,,,
April 2019,97.48,,,,,
March 2019,97.28,,,,,
February 2019,96.16,,,,,
January 2019,95.58,,,,,
December 2018,96.17,,,,,
November 2018,97.27,,,,,
October 2018,97.13,,,,,
September 2018,95.13,,,,,
August 2018,95.14,,,,,
July 2018,94.49,,,,,
June 2018,94.64,,,,,
May 2018,93.98,,,,,
April 2018,91.84,,,,,
March 2018,89.97,,,,,
February 2018,90.61,,,,,
January 2018,89.13,,,,,
December 2017,92.12,,,,,
November 2017,93.05,,,,,
October 2017,94.55,,,,,
September 2017,93.08,,,,,
August 2017,92.67,,,,,
July 2017,92.86,,,,,
June 2017,95.63,,,,,
May 2017,96.92,,,,,
April 2017,99.05,,,,,
March 2017,100.35,,,,,
February 2017,101.12,,,,,
January 2017,99.51,,,,,
December 2016,102.21,,,,,
November 2016,101.5,,,,,
October 2016,98.44,,,,,
September 2016,95.46,,,,,
August 2016,96.02,,,,,
July 2016,95.53,,,,,
June 2016,96.14,,,,,
May 2016,95.89,,,,,
April 2016,93.08,,,,,
March 2016,94.59,,,,,
February 2016,98.21,,,,,
January 2016,99.61,,,,,
December 2015,98.63,,,,,
November 2015,100.17,,,,,
October 2015,96.95,,,,,
September 2015,96.35,,,,,
August 2015,95.82,,,,,
July 2015,97.34,,,,,
June 2015,95.48,,,,,
May 2015,96.91,,,,,
April 2015,94.6,,,,,
March 2015,98.36,,,,,
February 2015,95.32,,,,,
January 2015,94.8,,,,,
December 2014,90.27,,,,,
November 2014,88.36,,,,,
October 2014,86.92,,,,,
September 2014,85.94,,,,,
August 2014,82.75,,,,,
July 2014,81.46,,,,,
June 2014,79.78,,,,,
May 2014,80.37,,,,,
April 2014,79.47,,,,,
March 2014,80.1,,,,,
February 2014,79.69,,,,,
January 2014,81.31,,,,,
December 2013,80.04,,,,,
November 2013,80.68,,,,,
October 2013,80.19,,,,,
September 2013,80.22,,,,,
August 2013,82.09,,,,,
July 2013,81.45,,,,,
June 2013,83.14,,,,,
May 2013,83.26,,,,,
April 2013,81.75,,,,,
March 2013,83.22,,,,,
February 2013,81.95,,,,,
January 2013,79.21,,,,,
December 2012,79.77,,,,,
November 2012,80.15,,,,,
October 2012,79.92,,,,,
September 2012,79.93,,,,,
August 2012,81.21,,,,,
July 2012,82.64,,,,,
June 2012,81.63,,,,,
May 2012,83.04,,,,,
April 2012,78.78,,,,,
March 2012,79,,,,,
February 2012,78.74,,,,,
January 2012,79.29,,,,,
December 2011,80.18,,,,,
November 2011,78.38,,,,,
October 2011,76.17,,,,,
September 2011,78.55,,,,,
August 2011,74.12,,,,,
July 2011,73.9,,,,,
June 2011,74.3,,,,,
May 2011,74.64,,,,,
April 2011,72.93,,,,,
March 2011,75.86,,,,,
February 2011,76.89,,,,,
January 2011,77.73,,,,,
December 2010,79.03,,,,,
November 2010,81.19,,,,,
October 2010,77.27,,,,,
September 2010,78.72,,,,,
August 2010,83.2,,,,,
July 2010,81.54,,,,,
June 2010,86.02,,,,,
May 2010,86.59,,,,,
April 2010,81.87,,,,,
March 2010,81.07,,,,,
February 2010,80.36,,,,,
January 2010,79.46,,,,,
December 2009,77.86,,,,,
November 2009,74.78,,,,,
October 2009,76.3,,,,,
September 2009,76.65,,,,,
August 2009,78.17,,,,,
July 2009,78.35,,,,,
June 2009,80.16,,,,,
May 2009,79.23,,,,,
April 2009,84.82,,,,,
March 2009,85.51,,,,,
February 2009,88.17,,,,,
January 2009,85.83,,,,,
December 2008,81.15,,,,,
November 2008,86.52,,,,,
October 2008,85.63,,,,,
September 2008,79.45,,,,,
August 2008,77.38,,,,,
July 2008,73.23,,,,,
June 2008,72.46,,,,,
May 2008,72.88,,,,,
April 2008,72.51,,,,,
March 2008,71.8,,,,,
February 2008,73.71,,,,,
January 2008,75.18,,,,,
